category,attribute,correlation,sample_size,non_null_count
Home Services,BestNights.sunday,-0.5819143739626463,12584,5
Home Services,GoodForDancing,-0.5449492609130661,12584,8
Home Services,BestNights.monday,0.3563483225498992,12584,5
Home Services,BestNights.friday,-0.3563483225498992,12584,5
Home Services,BestNights.saturday,-0.3563483225498992,12584,5
Home Services,Ambience.classy,0.3379209669184036,12584,33
Home Services,Ambience.casual,0.3182843924067016,12584,36
Home Services,HappyHour,0.3069729629198611,12584,47
Home Services,DogsAllowed,0.2709404780401581,12584,405
Home Services,GoodForMeal.dinner,0.2646968423315254,12584,23
Home Services,GoodForMeal.lunch,0.2646968423315254,12584,23
Home Services,Music.live,0.2337622911060922,12584,10
Home Services,RestaurantsTakeOut,-0.2116389325372008,12584,265
Home Services,GoodForMeal.breakfast,-0.2043344741339249,12584,22
Home Services,GoodForMeal.brunch,0.1853710228363174,12584,22
Home Services,BusinessParking.street,0.1770401988458695,12584,1634
Home Services,RestaurantsPriceRange2,-0.1677059256635954,12584,1666
Home Services,GoodForMeal.latenight,0.1616629980583651,12584,22
Home Services,Ambience.trendy,0.1612754472161787,12584,34
Home Services,HasTV,0.1542611194119356,12584,66
Home Services,OutdoorSeating,0.1527860080634445,12584,71
Home Services,Music.jukebox,0.143149583578467,12584,10
Home Services,ByAppointmentOnly,0.1416731667500194,12584,8399
Home Services,Ambience.touristy,-0.1326530612244898,12584,37
Home Services,BikeParking,0.1110742869297614,12584,1504
Home Services,RestaurantsTableService,-0.1080747137660582,12584,25
Home Services,RestaurantsGoodForGroups,0.1005990909655713,12584,40
Home Services,Music.background_music,0.095433055718978,12584,10
Home Services,RestaurantsDelivery,-0.0930039101312992,12584,290
Home Services,DriveThru,0.0888397936959172,12584,32
Home Services,Ambience.hipster,0.0783767621223639,12584,34
Home Services,BusinessAcceptsBitcoin,0.0731310490526941,12584,3579
Home Services,WheelchairAccessible,-0.0700968815653899,12584,1127
Home Services,Ambience.intimate,0.0698529411764704,12584,33
Home Services,AcceptsInsurance,-0.0625,12584,17
Home Services,GoodForMeal.dessert,-0.0525406937492733,12584,20
Home Services,GoodForKids,0.0478279040932944,12584,120
Home Services,BusinessParking.lot,-0.0352609518070795,12584,1637
Home Services,BusinessParking.validated,0.0328745227877177,12584,1636
Home Services,BusinessAcceptsCreditCards,-0.0289748368506996,12584,12199
Home Services,Ambience.romantic,0.0285839266321513,12584,35
Home Services,Caters,-0.0127047522517466,12584,77
Home Services,RestaurantsReservations,0.0092604502373668,12584,64
Home Services,BusinessParking.garage,-0.0079734036277366,12584,1638
Home Services,BusinessParking.valet,-0.000746474763228,12584,1640
Home Services,Ambience.divey,,12584,31
Home Services,Ambience.upscale,,12584,34
Home Services,CoatCheck,,12584,36
Home Services,BestNights.tuesday,,12584,5
Home Services,BestNights.wednesday,,12584,5
Home Services,BestNights.thursday,,12584,5
Home Services,Music.dj,,12584,10
Home Services,Music.no_music,,12584,9
Home Services,Music.video,,12584,10
Home Services,Music.karaoke,,12584,10
Home Services,BYOB,,12584,5
Home Services,Open24Hours,,12584,3
